pathway	compound	compound_name	pathway_name
path:map00908	cpd:C00015	UDP; Uridine 5'-diphosphate	Zeatin biosynthesis
path:map01100	cpd:C00015	UDP; Uridine 5'-diphosphate	Metabolic pathways
NA	cpd:C00015	UDP; Uridine 5'-diphosphate	NA
path:map00740	cpd:C00016	FAD; Flavin adenine dinucleotide	Riboflavin metabolism
path:map01100	cpd:C00016	FAD; Flavin adenine dinucleotide	Metabolic pathways
path:map01110	cpd:C00016	FAD; Flavin adenine dinucleotide	Biosynthesis of secondary metabolites
NA	cpd:C00016	FAD; Flavin adenine dinucleotide	NA
path:map00450	cpd:C00017	Protein	Selenocompound metabolism
path:map00730	cpd:C00018	Pyridoxal phosphate; Pyridoxal 5-phosphate; Pyridoxal 5'-phosphate; PLP	Thiamine metabolism
path:map00750	cpd:C00018	Pyridoxal phosphate; Pyridoxal 5-phosphate; Pyridoxal 5'-phosphate; PLP	Vitamin B6 metabolism
path:map01100	cpd:C00018	Pyridoxal phosphate; Pyridoxal 5-phosphate; Pyridoxal 5'-phosphate; PLP	Metabolic pathways
NA	cpd:C00018	Pyridoxal phosphate; Pyridoxal 5-phosphate; Pyridoxal 5'-phosphate; PLP	NA
path:map00261	cpd:C00019	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM	Monobactam biosynthesis
path:map00270	cpd:C00019	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM	Cysteine and methionine metabolism
path:map00330	cpd:C00019	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM	Arginine and proline metabolism
path:map00908	cpd:C00019	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM	Zeatin biosynthesis
path:map01060	cpd:C00019	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM	Biosynthesis of plant secondary metabolites
path:map01070	cpd:C00019	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM	Biosynthesis of plant hormones
path:map01100	cpd:C00019	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM	Metabolic pathways
path:map01110	cpd:C00019	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM	Biosynthesis of secondary metabolites
path:map01130	cpd:C00019	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM	Biosynthesis of antibiotics
path:map01230	cpd:C00019	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM	Biosynthesis of amino acids
NA	cpd:C00019	S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM	NA
path:map00230	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	Purine metabolism
path:map00908	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	Zeatin biosynthesis
path:map01060	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	Biosynthesis of plant secondary metabolites
path:map01065	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	Biosynthesis of alkaloids derived from histidine and purine
path:map01070	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	Biosynthesis of plant hormones
path:map01100	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	Metabolic pathways
path:map01110	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	Biosynthesis of secondary metabolites
path:map01130	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	Biosynthesis of antibiotics
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
NA	cpd:C00020	AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	NA
path:map00270	cpd:C00021	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine	Cysteine and methionine metabolism
path:map01100	cpd:C00021	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine	Metabolic pathways
path:map01230	cpd:C00021	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine	Biosynthesis of amino acids
path:map00010	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Glycolysis / Gluconeogenesis
path:map00020	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Citrate cycle (TCA cycle)
path:map00030	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Pentose phosphate pathway
path:map00040	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Pentose and glucuronate interconversions
path:map00053	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Ascorbate and aldarate metabolism
path:map00250	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Alanine, aspartate and glutamate metabolism
path:map00260	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Glycine, serine and threonine metabolism
path:map00261	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Monobactam biosynthesis
path:map00270	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Cysteine and methionine metabolism
path:map00290	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Valine, leucine and isoleucine biosynthesis
path:map00330	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Arginine and proline metabolism
path:map00350	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Tyrosine metabolism
path:map00360	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Phenylalanine metabolism
path:map00362	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Benzoate degradation
path:map00430	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Taurine and hypotaurine metabolism
path:map00440	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Phosphonate and phosphinate metabolism
path:map00473	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	D-Alanine metabolism
path:map00620	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Pyruvate metabolism
path:map00621	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Dioxin degradation
path:map00622	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Xylene degradation
path:map00630	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Glyoxylate and dicarboxylate metabolism
path:map00650	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Butanoate metabolism
path:map00660	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	C5-Branched dibasic acid metabolism
path:map00680	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Methane metabolism
path:map00710	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Carbon fixation in photosynthetic organisms
path:map00720	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Carbon fixation pathways in prokaryotes
path:map00730	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Thiamine metabolism
path:map00760	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Nicotinate and nicotinamide metabolism
path:map00770	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Pantothenate and CoA biosynthesis
path:map00900	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Terpenoid backbone biosynthesis
path:map01060	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Biosynthesis of plant secondary metabolites
path:map01061	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Biosynthesis of phenylpropanoids
path:map01062	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Biosynthesis of terpenoids and steroids
path:map01063	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Biosynthesis of alkaloids derived from shikimate pathway
path:map01064	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid
path:map01065	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Biosynthesis of alkaloids derived from histidine and purine
path:map01066	cpd:C00022	Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	Biosynthesis of alkaloids derived from terpenoid and polyketide
