module	compound	compound_name	module_name
M00010	cpd:C00026	2-Oxoglutarate	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
M00010	cpd:RMODULE	RM001  2-Oxocarboxylic acid chain extension by tricarboxylic acid pathway	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
M00011	cpd:C00026	2-Oxoglutarate	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00011	cpd:C15972	Enzyme N6-(lipoyl)lysine	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00011	cpd:C16254	[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00011	cpd:C00091	Succinyl-CoA	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00011	cpd:C15973	Enzyme N6-(dihydrolipoyl)lysine	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00011	cpd:C00042	Succinate	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00011	cpd:C00122	Fumarate	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00011	cpd:C00149	(S)-Malate	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00011	cpd:C00036	Oxaloacetate	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00012	cpd:C00024	Acetyl-CoA	Glyoxylate cycle
M00012	cpd:C00036	Oxaloacetate	Glyoxylate cycle
M00012	cpd:C00158	Citrate	Glyoxylate cycle
M00012	cpd:C00417	cis-Aconitate	Glyoxylate cycle
M00012	cpd:C00311	Isocitrate	Glyoxylate cycle
M00012	cpd:C00048	Glyoxylate	Glyoxylate cycle
M00012	cpd:C00149	(S)-Malate	Glyoxylate cycle
M00013	cpd:C00100	Propanoyl-CoA	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
M00013	cpd:C00894	Propenoyl-CoA	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
M00013	cpd:C05668	3-Hydroxypropionyl-CoA	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
M00013	cpd:C01013	3-Hydroxypropanoate	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
M00013	cpd:C00222	3-Oxopropanoate	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
M00013	cpd:C00024	Acetyl-CoA	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
M00013	cpd:RMODULE	RM019  Acyl-CoA conversion via dicarboxylate semialdehyde	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
M00014	cpd:C00029	UDP-glucose	Glucuronate pathway (uronate pathway)
M00014	cpd:C00167	UDP-glucuronate	Glucuronate pathway (uronate pathway)
M00014	cpd:C05385	D-Glucuronate 1-phosphate	Glucuronate pathway (uronate pathway)
M00014	cpd:C00191	D-Glucuronate	Glucuronate pathway (uronate pathway)
M00014	cpd:C03033	beta-D-Glucuronoside	Glucuronate pathway (uronate pathway)
M00014	cpd:C00800	L-Gulonate	Glucuronate pathway (uronate pathway)
M00014	cpd:C00618	3-Dehydro-L-gulonate	Glucuronate pathway (uronate pathway)
M00014	cpd:C00312	L-Xylulose	Glucuronate pathway (uronate pathway)
M00014	cpd:C00379	Xylitol	Glucuronate pathway (uronate pathway)
M00014	cpd:C00310	D-Xylulose	Glucuronate pathway (uronate pathway)
M00014	cpd:C00231	D-Xylulose 5-phosphate	Glucuronate pathway (uronate pathway)
M00015	cpd:C00025	L-Glutamate	Proline biosynthesis, glutamate => proline
M00015	cpd:C03287	L-Glutamyl 5-phosphate	Proline biosynthesis, glutamate => proline
M00015	cpd:C01165	L-Glutamate 5-semialdehyde	Proline biosynthesis, glutamate => proline
M00015	cpd:C03912	(S)-1-Pyrroline-5-carboxylate	Proline biosynthesis, glutamate => proline
M00015	cpd:C00148	L-Proline	Proline biosynthesis, glutamate => proline
M00016	cpd:C00049	L-Aspartate	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00016	cpd:C03082	4-Phospho-L-aspartate	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00016	cpd:C00441	L-Aspartate 4-semialdehyde	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00016	cpd:C20258	(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00016	cpd:C03972	2,3,4,5-Tetrahydrodipicolinate	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00016	cpd:C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00016	cpd:C04421	N-Succinyl-LL-2,6-diaminoheptanedioate	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00016	cpd:C00666	LL-2,6-Diaminoheptanedioate	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00016	cpd:C00680	meso-2,6-Diaminoheptanedioate	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00016	cpd:C00047	L-Lysine	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00017	cpd:C00049	L-Aspartate	Methionine biosynthesis, apartate => homoserine => methionine
M00017	cpd:C03082	4-Phospho-L-aspartate	Methionine biosynthesis, apartate => homoserine => methionine
M00017	cpd:C00441	L-Aspartate 4-semialdehyde	Methionine biosynthesis, apartate => homoserine => methionine
M00017	cpd:C00263	L-Homoserine	Methionine biosynthesis, apartate => homoserine => methionine
M00017	cpd:C01118	O-Succinyl-L-homoserine	Methionine biosynthesis, apartate => homoserine => methionine
M00017	cpd:C02291	L-Cystathionine	Methionine biosynthesis, apartate => homoserine => methionine
M00017	cpd:C00155	L-Homocysteine	Methionine biosynthesis, apartate => homoserine => methionine
M00017	cpd:C00073	L-Methionine	Methionine biosynthesis, apartate => homoserine => methionine
M00018	cpd:C00049	L-Aspartate	Threonine biosynthesis, aspartate => homoserine => threonine
M00018	cpd:C03082	4-Phospho-L-aspartate	Threonine biosynthesis, aspartate => homoserine => threonine
M00018	cpd:C00441	L-Aspartate 4-semialdehyde	Threonine biosynthesis, aspartate => homoserine => threonine
M00018	cpd:C00263	L-Homoserine	Threonine biosynthesis, aspartate => homoserine => threonine
M00018	cpd:C01102	O-Phospho-L-homoserine	Threonine biosynthesis, aspartate => homoserine => threonine
M00018	cpd:C00188	L-Threonine	Threonine biosynthesis, aspartate => homoserine => threonine
M00019	cpd:C00022	Pyruvate	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00019	cpd:C06010	(S)-2-Acetolactate	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00019	cpd:C04181	3-Hydroxy-3-methyl-2-oxobutanoic acid	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00019	cpd:C04272	(R)-2,3-Dihydroxy-3-methylbutanoate	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00019	cpd:C00141	3-Methyl-2-oxobutanoic acid	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00019	cpd:C00183	L-Valine	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00019	cpd:C00109	2-Oxobutanoate	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00019	cpd:C06006	(S)-2-Aceto-2-hydroxybutanoate	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00019	cpd:C14463	(R)-3-Hydroxy-3-methyl-2-oxopentanoate	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00019	cpd:C06007	(R)-2,3-Dihydroxy-3-methylpentanoate	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00019	cpd:C00671	(S)-3-Methyl-2-oxopentanoic acid	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00019	cpd:C00407	L-Isoleucine	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00019	cpd:RMODULE	RM033  Branched-chain addition (branched-chain amino acid synthesis)	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00020	cpd:C00197	3-Phospho-D-glycerate	Serine biosynthesis, glycerate-3P => serine
M00020	cpd:C03232	3-Phosphonooxypyruvate	Serine biosynthesis, glycerate-3P => serine
M00020	cpd:C01005	O-Phospho-L-serine	Serine biosynthesis, glycerate-3P => serine
M00020	cpd:C00065	L-Serine	Serine biosynthesis, glycerate-3P => serine
M00021	cpd:C00065	L-Serine	Cysteine biosynthesis, serine => cysteine
M00021	cpd:C00979	O-Acetyl-L-serine	Cysteine biosynthesis, serine => cysteine
M00021	cpd:C00283	Hydrogen sulfide	Cysteine biosynthesis, serine => cysteine
M00021	cpd:C00097	L-Cysteine	Cysteine biosynthesis, serine => cysteine
M00022	cpd:C00074	Phosphoenolpyruvate	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
M00022	cpd:C00279	D-Erythrose 4-phosphate	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
M00022	cpd:C04691	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
M00022	cpd:C00944	3-Dehydroquinate	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
M00022	cpd:C02637	3-Dehydroshikimate	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
M00022	cpd:C00493	Shikimate	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
M00022	cpd:C03175	Shikimate 3-phosphate	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
M00022	cpd:C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
M00022	cpd:C00251	Chorismate	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
M00023	cpd:C00251	Chorismate	Tryptophan biosynthesis, chorismate => tryptophan
M00023	cpd:C00108	Anthranilate	Tryptophan biosynthesis, chorismate => tryptophan
M00023	cpd:C04302	N-(5-Phospho-D-ribosyl)anthranilate	Tryptophan biosynthesis, chorismate => tryptophan
M00023	cpd:C01302	1-(2-Carboxyphenylamino)-1'-deoxy-D-ribulose 5'-phosphate	Tryptophan biosynthesis, chorismate => tryptophan
M00023	cpd:C03506	Indoleglycerol phosphate	Tryptophan biosynthesis, chorismate => tryptophan
M00023	cpd:C00078	L-Tryptophan	Tryptophan biosynthesis, chorismate => tryptophan
M00024	cpd:C00251	Chorismate	Phenylalanine biosynthesis, chorismate => phenylalanine
M00024	cpd:C00254	Prephenate	Phenylalanine biosynthesis, chorismate => phenylalanine
M00024	cpd:C00166	Phenylpyruvate	Phenylalanine biosynthesis, chorismate => phenylalanine
M00024	cpd:C00079	L-Phenylalanine	Phenylalanine biosynthesis, chorismate => phenylalanine
M00025	cpd:C00251	Chorismate	Tyrosine biosynthesis, chorismate => tyrosine
M00025	cpd:C00254	Prephenate	Tyrosine biosynthesis, chorismate => tyrosine
M00025	cpd:C01179	3-(4-Hydroxyphenyl)pyruvate	Tyrosine biosynthesis, chorismate => tyrosine
M00025	cpd:C00082	L-Tyrosine	Tyrosine biosynthesis, chorismate => tyrosine
M00026	cpd:C00119	5-Phospho-alpha-D-ribose 1-diphosphate	Histidine biosynthesis, PRPP => histidine
M00026	cpd:C02739	1-(5-Phospho-D-ribosyl)-ATP	Histidine biosynthesis, PRPP => histidine
M00026	cpd:C02741	Phosphoribosyl-AMP	Histidine biosynthesis, PRPP => histidine
M00026	cpd:C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide	Histidine biosynthesis, PRPP => histidine
M00026	cpd:C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	Histidine biosynthesis, PRPP => histidine
M00026	cpd:C04666	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate	Histidine biosynthesis, PRPP => histidine
M00026	cpd:C01267	3-(Imidazol-4-yl)-2-oxopropyl phosphate	Histidine biosynthesis, PRPP => histidine
M00026	cpd:C01100	L-Histidinol phosphate	Histidine biosynthesis, PRPP => histidine
M00026	cpd:C00860	L-Histidinol	Histidine biosynthesis, PRPP => histidine
M00026	cpd:C01929	L-Histidinal	Histidine biosynthesis, PRPP => histidine
M00026	cpd:C00135	L-Histidine	Histidine biosynthesis, PRPP => histidine
M00027	cpd:C00025	L-Glutamate	GABA (gamma-Aminobutyrate) shunt
M00027	cpd:C00334	4-Aminobutanoate	GABA (gamma-Aminobutyrate) shunt
M00027	cpd:C00232	Succinate semialdehyde	GABA (gamma-Aminobutyrate) shunt
M00027	cpd:C00042	Succinate	GABA (gamma-Aminobutyrate) shunt
M00028	cpd:C00025	L-Glutamate	Ornithine biosynthesis, glutamate => ornithine
M00028	cpd:C00624	N-Acetyl-L-glutamate	Ornithine biosynthesis, glutamate => ornithine
M00028	cpd:C04133	N-Acetyl-L-glutamate 5-phosphate	Ornithine biosynthesis, glutamate => ornithine
M00028	cpd:C01250	N-Acetyl-L-glutamate 5-semialdehyde	Ornithine biosynthesis, glutamate => ornithine
M00028	cpd:C00437	N-Acetylornithine	Ornithine biosynthesis, glutamate => ornithine
M00028	cpd:C00077	L-Ornithine	Ornithine biosynthesis, glutamate => ornithine
M00028	cpd:RMODULE	RM002  Carboxyl to amino conversion using protective N-acetyl group (basic amino acid synthesis)	Ornithine biosynthesis, glutamate => ornithine
M00029	cpd:C00014	NH3	Urea cycle
M00029	cpd:C00169	Carbamoyl phosphate	Urea cycle
M00029	cpd:C00077	L-Ornithine	Urea cycle
M00029	cpd:C00327	L-Citrulline	Urea cycle
M00029	cpd:C00049	L-Aspartate	Urea cycle
M00029	cpd:C03406	N-(L-Arginino)succinate	Urea cycle
M00029	cpd:C00062	L-Arginine	Urea cycle
M00029	cpd:C00122	Fumarate	Urea cycle
M00029	cpd:C00086	Urea	Urea cycle
M00030	cpd:C00026	2-Oxoglutarate	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00030	cpd:C00024	Acetyl-CoA	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00030	cpd:C01251	(R)-2-Hydroxybutane-1,2,4-tricarboxylate	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00030	cpd:C04002	(Z)-But-1-ene-1,2,4-tricarboxylate	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00030	cpd:C05662	Homoisocitrate	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00030	cpd:C00322	2-Oxoadipate	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00030	cpd:C00956	L-2-Aminoadipate	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00030	cpd:C05560	L-2-Aminoadipate adenylate	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00030	cpd:C05535	alpha-Aminoadipoyl-S-acyl enzyme	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00030	cpd:C04076	L-2-Aminoadipate 6-semialdehyde	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00030	cpd:C00449	N6-(L-1,3-Dicarboxypropyl)-L-lysine	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00030	cpd:C00047	L-Lysine	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00031	cpd:C00956	L-2-Aminoadipate	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine
M00031	cpd:C19886	LysW-gamma-L-alpha-aminoadipate	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine
M00031	cpd:C19887	LysW-gamma-L-alpha-aminoadipyl 6-phosphate	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine
M00031	cpd:C19888	LysW-gamma-L-alpha-aminoadipate 6-semialdehyde	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine
M00031	cpd:C19889	LysW-gamma-L-lysine	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine
M00031	cpd:C00047	L-Lysine	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine
M00031	cpd:RMODULE	RM002  Carboxyl to amino conversion using protective N-acetyl group (basic amino acid synthesis)	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine
M00032	cpd:C00047	L-Lysine	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
M00032	cpd:C00449	N6-(L-1,3-Dicarboxypropyl)-L-lysine	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
M00032	cpd:C04076	L-2-Aminoadipate 6-semialdehyde	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
M00032	cpd:C00956	L-2-Aminoadipate	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
M00032	cpd:C00322	2-Oxoadipate	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
M00032	cpd:C00527	Glutaryl-CoA	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
M00032	cpd:C00877	Crotonoyl-CoA	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
M00032	cpd:C01144	(S)-3-Hydroxybutanoyl-CoA	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
M00032	cpd:C00332	Acetoacetyl-CoA	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
M00033	cpd:C00049	L-Aspartate	Ectoine biosynthesis, aspartate => ectoine
M00033	cpd:C03082	4-Phospho-L-aspartate	Ectoine biosynthesis, aspartate => ectoine
M00033	cpd:C00441	L-Aspartate 4-semialdehyde	Ectoine biosynthesis, aspartate => ectoine
M00033	cpd:C03283	L-2,4-Diaminobutanoate	Ectoine biosynthesis, aspartate => ectoine
M00033	cpd:C06442	N-gamma-Acetyldiaminobutyrate	Ectoine biosynthesis, aspartate => ectoine
M00033	cpd:C06231	Ectoine	Ectoine biosynthesis, aspartate => ectoine
M00033	cpd:RMODULE	RM032  Carboxyl to amino conversion without using protective group	Ectoine biosynthesis, aspartate => ectoine
M00034	cpd:C00073	L-Methionine	Methionine salvage pathway
M00034	cpd:C00019	S-Adenosyl-L-methionine	Methionine salvage pathway
M00034	cpd:C01137	S-Adenosylmethioninamine	Methionine salvage pathway
M00034	cpd:C00170	5'-Methylthioadenosine	Methionine salvage pathway
M00034	cpd:C03089	5-Methylthio-D-ribose	Methionine salvage pathway
M00034	cpd:C04188	S-Methyl-5-thio-D-ribose 1-phosphate	Methionine salvage pathway
M00034	cpd:C04582	S-Methyl-5-thio-D-ribulose 1-phosphate	Methionine salvage pathway
M00034	cpd:C15650	2,3-Diketo-5-methylthiopentyl-1-phosphate	Methionine salvage pathway
M00034	cpd:C15651	2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate	Methionine salvage pathway
